"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1380","Census Tract 224010","2278","Census Tract 462500","1/1/2018 - 1/31/2018, Every day, Daily Average",2004,1445,2779
"1380","Census Tract 224010","2279","Census Tract 463101","1/1/2018 - 1/31/2018, Every day, Daily Average",1819,1296,2552
"1380","Census Tract 224010","2280","Census Tract 463102","1/1/2018 - 1/31/2018, Every day, Daily Average",1992,1466,2705
"1380","Census Tract 224010","2281","Census Tract 463300","1/1/2018 - 1/31/2018, Every day, Daily Average",1783,1305,2435
"1380","Census Tract 224010","2282","Census Tract 480002","1/1/2018 - 1/31/2018, Every day, Daily Average",1972,1420,2738
"1380","Census Tract 224010","2283","Census Tract 480011","1/1/2018 - 1/31/2018, Every day, Daily Average",1943,1443,2615
"1380","Census Tract 224010","2284","Census Tract 480012","1/1/2018 - 1/31/2018, Every day, Daily Average",1817,1282,2574
"1380","Census Tract 224010","2285","Census Tract 480102","1/1/2018 - 1/31/2018, Every day, Daily Average",1786,1219,2615
"1380","Census Tract 224010","2287","Census Tract 481202","1/1/2018 - 1/31/2018, Every day, Daily Average",1630,1178,2254
"1380","Census Tract 224010","2288","Census Tract 482402","1/1/2018 - 1/31/2018, Every day, Daily Average",950,624,1444
"1380","Census Tract 224010","2289","Census Tract 482521","1/1/2018 - 1/31/2018, Every day, Daily Average",1418,931,2157
"1380","Census Tract 224010","2290","Census Tract 482522","1/1/2018 - 1/31/2018, Every day, Daily Average",1225,799,1877
"1380","Census Tract 224010","2291","Census Tract 500100","1/1/2018 - 1/31/2018, Every day, Daily Average",1935,1388,2696
"1380","Census Tract 224010","2294","Census Tract 500300","1/1/2018 - 1/31/2018, Every day, Daily Average",1363,900,2063
"1380","Census Tract 224010","2295","Census Tract 500403","1/1/2018 - 1/31/2018, Every day, Daily Average",1531,1007,2326
"1380","Census Tract 224010","2297","Census Tract 500500","1/1/2018 - 1/31/2018, Every day, Daily Average",1200,855,1683
"1380","Census Tract 224010","2298","Census Tract 501001","1/1/2018 - 1/31/2018, Every day, Daily Average",1705,993,2926
"1380","Census Tract 224010","2299","Census Tract 501002","1/1/2018 - 1/31/2018, Every day, Daily Average",1802,1234,2629
"1380","Census Tract 224010","2300","Census Tract 501200","1/1/2018 - 1/31/2018, Every day, Daily Average",1728,1149,2597
"1380","Census Tract 224010","2304","Census Tract 502005","1/1/2018 - 1/31/2018, Every day, Daily Average",1781,1295,2448
"1380","Census Tract 224010","2305","Census Tract 502100","1/1/2018 - 1/31/2018, Every day, Daily Average",2042,1338,3116
"1380","Census Tract 224010","2306","Census Tract 502200","1/1/2018 - 1/31/2018, Every day, Daily Average",1705,1102,2636
"1380","Census Tract 224010","2307","Census Tract 502301","1/1/2018 - 1/31/2018, Every day, Daily Average",1584,1061,2364
"1380","Census Tract 224010","2309","Census Tract 502901","1/1/2018 - 1/31/2018, Every day, Daily Average",1832,1311,2558
"1380","Census Tract 224010","2310","Census Tract 502902","1/1/2018 - 1/31/2018, Every day, Daily Average",1628,1181,2243
"1380","Census Tract 224010","2311","Census Tract 503000","1/1/2018 - 1/31/2018, Every day, Daily Average",1688,1188,2396
"1380","Census Tract 224010","2312","Census Tract 503103","1/1/2018 - 1/31/2018, Every day, Daily Average",1646,1186,2283
"1380","Census Tract 224010","2313","Census Tract 503104","1/1/2018 - 1/31/2018, Every day, Daily Average",1694,1214,2363
"1380","Census Tract 224010","2314","Census Tract 503105","1/1/2018 - 1/31/2018, Every day, Daily Average",1787,1280,2493
"1380","Census Tract 224010","2315","Census Tract 503106","1/1/2018 - 1/31/2018, Every day, Daily Average",1786,1300,2453
"1380","Census Tract 224010","2316","Census Tract 503201","1/1/2018 - 1/31/2018, Every day, Daily Average",1728,1271,2347
"1380","Census Tract 224010","2317","Census Tract 503202","1/1/2018 - 1/31/2018, Every day, Daily Average",1741,1249,2425
"1380","Census Tract 224010","2318","Census Tract 503302","1/1/2018 - 1/31/2018, Every day, Daily Average",2058,1450,2919
"1380","Census Tract 224010","2319","Census Tract 503501","1/1/2018 - 1/31/2018, Every day, Daily Average",2064,1431,2975
"1380","Census Tract 224010","2323","Census Tract 530003","1/1/2018 - 1/31/2018, Every day, Daily Average",1523,981,2362
"1380","Census Tract 224010","2324","Census Tract 530202","1/1/2018 - 1/31/2018, Every day, Daily Average",1161,754,1786
"1380","Census Tract 224010","2325","Census Tract 530301","1/1/2018 - 1/31/2018, Every day, Daily Average",878,555,1388
"1380","Census Tract 224010","2326","Census Tract 530302","1/1/2018 - 1/31/2018, Every day, Daily Average",682,433,1073
"1380","Census Tract 224010","2327","Census Tract 530400","1/1/2018 - 1/31/2018, Every day, Daily Average",626,391,999
"1380","Census Tract 224010","2328","Census Tract 530500","1/1/2018 - 1/31/2018, Every day, Daily Average",608,379,972
"1380","Census Tract 224010","2329","Census Tract 530601","1/1/2018 - 1/31/2018, Every day, Daily Average",688,439,1077
